"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","[403]FORBIDDEN - Download custom config from switch by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","CUSTOM_CONFIG","",""
"","48","[200]OK - Download custom config from switch","Packet Broker","2026-02-09","passed","2026-02-09","Get entity","CUSTOM_CONFIG","",""
"","23","[412]PRECONDITION_FAILED - Create balancing without balanceType","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","239","[200]OK - Create configured ports","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","PORTS","",""
"","18","[403]FORBIDDEN - Delete analysis port by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ANALYSIS_PORTS","",""
"","21","[403]FORBIDDEN - Get egress group list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","EGRESS_GROUPS","",""
"","95","[200]OK - Update analysis port","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","ANALYSIS_PORTS","",""
"","19","[412]PRECONDITION_FAILED - Delete balancing group without logicGroup","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","90","[200]OK - Update mirroring group","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","MIRRORING","",""
"","40","[403]FORBIDDEN - Delete psf format by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_FORMAT","",""
"","35","[403]FORBIDDEN - Get loopback ports speed limit list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","LOOPBACK_PORTS","",""
"","27","[412]PRECONDITION_FAILED - Create balancing for created balancing group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","50","[412]PRECONDITION_FAILED - Delete nonexistent mirroring group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRRORING","",""
"","19","[403]FORBIDDEN - Delete balancing without access-token","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
